"Date","Symbol","Marketcapname","Sector"
"30-07-2026 2:55 pm","DRREDDY","Largecap","Healthcare"
"30-07-2026 2:55 pm","SOLARINDS","Largecap","Aerospace & Defence"
"30-07-2026 3:05 pm","HYUNDAI","Largecap","Auto"
"30-07-2026 3:15 pm","BANDHANBNK","Largecap","Bank"
"31-07-2026 11:55 am","MCX","Largecap","Financials"
"31-07-2026 2:45 pm","UPL","Largecap","Chemicals"
"31-07-2026 2:55 pm","KOTAKBANK","Largecap","Bank"
"03-08-2026 9:15 am","CUMMINSIND","Largecap","Industrials"
"03-08-2026 9:15 am","ANGELONE","Largecap","Financials"
"03-08-2026 9:35 am","CUMMINSIND","Largecap","Industrials"
"03-08-2026 9:55 am","ONGC","Largecap","Energy"
"03-08-2026 12:15 pm","CGPOWER","Largecap","Industrials"
"03-08-2026 12:15 pm","KEI","Largecap","Industrials"
"03-08-2026 12:35 pm","CUMMINSIND","Largecap","Industrials"
"04-08-2026 9:15 am","ICICIGI","Largecap","Financials"
"04-08-2026 9:25 am","UNIONBANK","Largecap","Bank"
"04-08-2026 9:35 am","TMPV","Largecap","Auto"
"04-08-2026 10:45 am","PERSISTENT","Largecap","I.T"
"04-08-2026 1:25 pm","SOLARINDS","Largecap","Aerospace & Defence"
"05-08-2026 9:15 am","ABB","Largecap","Industrials"
"05-08-2026 9:15 am","TCS","Largecap","I.T"
"05-08-2026 9:15 am","COALINDIA","Largecap","Metals & Mining"
"05-08-2026 12:45 pm","PAGEIND","Largecap","Consumer Discretionary"
"05-08-2026 1:15 pm","TECHM","Largecap","I.T"
"05-08-2026 1:55 pm","SBIN","Largecap","Bank"
"05-08-2026 2:05 pm","NAM-INDIA","Largecap","Financials"
"05-08-2026 2:35 pm","LICI","Largecap","Financials"
"05-08-2026 3:05 pm","SUNPHARMA","Largecap","Healthcare"
"05-08-2026 3:05 pm","BAJAJ-AUTO","Largecap","Auto"
"06-08-2026 9:35 am","ULTRACEMCO","Largecap","Building Materials"
"06-08-2026 10:15 am","ULTRACEMCO","Largecap","Building Materials"
"06-08-2026 10:55 am","HINDUNILVR","Largecap","FMCG"
"06-08-2026 11:35 am","PFC","Largecap","Financials"
"07-08-2026 9:25 am","HINDUNILVR","Largecap","FMCG"
"07-08-2026 9:25 am","SUNPHARMA","Largecap","Healthcare"
"07-08-2026 11:05 am","COALINDIA","Largecap","Metals & Mining"
"07-08-2026 1:25 pm","BANKBARODA","Largecap","Bank"
"07-08-2026 2:25 pm","HINDUNILVR","Largecap","FMCG"
"07-08-2026 2:25 pm","COALINDIA","Largecap","Metals & Mining"
"07-08-2026 3:05 pm","IDEA","Largecap","Telecom-Service"
"10-08-2026 9:15 am","HDFCBANK","Largecap","Bank"
"10-08-2026 9:15 am","ADANIENSOL","Largecap","Power & Utilities"
"10-08-2026 9:25 am","KALYANKJIL","Largecap","Consumer Discretionary"
"10-08-2026 9:55 am","LICI","Largecap","Financials"
"10-08-2026 10:15 am","BANKBARODA","Largecap","Bank"
"10-08-2026 11:15 am","POWERGRID","Largecap","Power & Utilities"
"10-08-2026 11:45 am","TATAPOWER","Largecap","Power & Utilities"
"10-08-2026 12:05 pm","POWERGRID","Largecap","Power & Utilities"
"10-08-2026 1:35 pm","TATAPOWER","Largecap","Power & Utilities"
"10-08-2026 2:55 pm","GRASIM","Largecap","Textiles"
"11-08-2026 10:25 am","KFINTECH","Midcap","Financials"
"11-08-2026 12:05 pm","CHOLAFIN","Largecap","Financials"
"11-08-2026 12:05 pm","BSE","Largecap","Financials"
"11-08-2026 12:15 pm","ASIANPAINT","Largecap","Building Materials"
"11-08-2026 12:35 pm","ICICIGI","Largecap","Financials"
"11-08-2026 12:45 pm","BAJFINANCE","Largecap","Financials"
"11-08-2026 2:15 pm","ICICIGI","Largecap","Financials"
"12-08-2026 10:05 am","ZYDUSLIFE","Largecap","Healthcare"
"12-08-2026 10:05 am","BANDHANBNK","Largecap","Bank"
"12-08-2026 10:15 am","ABCAPITAL","Largecap","Financials"
"12-08-2026 10:35 am","VOLTAS","Largecap","Consumer Discretionary"
"12-08-2026 10:35 am","UNITDSPR","Largecap","FMCG"
"12-08-2026 11:15 am","POWERGRID","Largecap","Power & Utilities"
"12-08-2026 12:25 pm","NTPC","Largecap","Power & Utilities"
"12-08-2026 12:45 pm","POWERGRID","Largecap","Power & Utilities"
"12-08-2026 1:15 pm","KAYNES","Largecap","Consumer Discretionary"
"12-08-2026 1:35 pm","IDFCFIRSTB","Largecap","Bank"
"12-08-2026 2:25 pm","NAM-INDIA","Largecap","Financials"
"12-08-2026 2:35 pm","SWIGGY","Largecap","I.T"
"13-08-2026 9:15 am","GLENMARK","Largecap","Healthcare"
"13-08-2026 9:45 am","BANKBARODA","Largecap","Bank"
"13-08-2026 11:45 am","POWERGRID","Largecap","Power & Utilities"
"13-08-2026 11:55 am","ULTRACEMCO","Largecap","Building Materials"
"13-08-2026 11:55 am","SBILIFE","Largecap","Financials"
"13-08-2026 12:05 pm","RECLTD","Largecap","Financials"
"13-08-2026 1:15 pm","JSWSTEEL","Largecap","Metals & Mining"
"13-08-2026 1:35 pm","VOLTAS","Largecap","Consumer Discretionary"
"13-08-2026 1:35 pm","SBILIFE","Largecap","Financials"
"13-08-2026 1:45 pm","HDFCBANK","Largecap","Bank"
"13-08-2026 1:45 pm","JSWSTEEL","Largecap","Metals & Mining"
"13-08-2026 1:45 pm","ONGC","Largecap","Energy"
"13-08-2026 2:25 pm","ONGC","Largecap","Energy"
"13-08-2026 2:25 pm","WAAREEENER","Largecap","Industrials"
"13-08-2026 2:45 pm","SUZLON","Largecap","Industrials"
"13-08-2026 3:05 pm","ASIANPAINT","Largecap","Building Materials"
"14-08-2026 9:35 am","UPL","Largecap","Chemicals"
"14-08-2026 9:35 am","INDUSTOWER","Largecap","Telecom"
"14-08-2026 9:45 am","DLF","Largecap","Realty"
"14-08-2026 10:45 am","HDFCBANK","Largecap","Bank"
"14-08-2026 11:35 am","HEALTHCARE","Smallcap","Indices"
"14-08-2026 11:45 am","HDFCBANK","Largecap","Bank"
"14-08-2026 11:45 am","LUPIN","Largecap","Healthcare"
"14-08-2026 11:55 am","TATACONSUM","Largecap","FMCG"
"14-08-2026 12:15 pm","KOTAKBANK","Largecap","Bank"
"14-08-2026 12:45 pm","TATACONSUM","Largecap","FMCG"
"14-08-2026 1:25 pm","INFY","Largecap","I.T"
"14-08-2026 1:55 pm","ITC","Largecap","FMCG"
"14-08-2026 2:15 pm","MPHASIS","Largecap","I.T"
"14-08-2026 2:35 pm","AMBER","Largecap","Consumer Discretionary"
"14-08-2026 2:45 pm","INFY","Largecap","I.T"
"17-08-2026 9:15 am","ENERGY","Smallcap","Indices"
"17-08-2026 9:35 am","INDHOTEL","Largecap","Services"
"17-08-2026 9:45 am","TATASTEEL","Largecap","Metals & Mining"
"17-08-2026 9:45 am","ENERGY","Smallcap","Indices"
"17-08-2026 10:05 am","WAAREEENER","Largecap","Industrials"
"17-08-2026 10:55 am","KOTAKBANK","Largecap","Bank"
"17-08-2026 11:35 am","BHARTIARTL","Largecap","Telecom-Service"
"17-08-2026 11:55 am","UNITDSPR","Largecap","FMCG"
"17-08-2026 12:15 pm","UNITDSPR","Largecap","FMCG"
"17-08-2026 12:35 pm","GVT&D","Largecap","Industrials"
"17-08-2026 12:45 pm","PFC","Largecap","Financials"
"17-08-2026 12:45 pm","ENERGY","Smallcap","Indices"
"17-08-2026 1:05 pm","VEDL","Largecap","Metals & Mining"
"17-08-2026 1:55 pm","TVSMOTOR","Largecap","Auto"
"17-08-2026 2:25 pm","PERSISTENT","Largecap","I.T"
"18-08-2026 9:55 am","AMBUJACEM","Largecap","Building Materials"
"18-08-2026 10:25 am","LT","Largecap","Realty"
"18-08-2026 10:25 am","POWERGRID","Largecap","Power & Utilities"
"18-08-2026 11:25 am","MUTHOOTFIN","Largecap","Financials"
"18-08-2026 11:35 am","POWERGRID","Largecap","Power & Utilities"
"18-08-2026 11:45 am","HINDALCO","Largecap","Metals & Mining"
"18-08-2026 11:55 am","BAJFINANCE","Largecap","Financials"
"18-08-2026 11:55 am","KFINTECH","Midcap","Financials"
"18-08-2026 1:35 pm","AXISBANK","Largecap","Bank"
"18-08-2026 2:25 pm","NATIONALUM","Largecap","Metals & Mining"
"18-08-2026 2:45 pm","WAAREEENER","Largecap","Industrials"
"18-08-2026 2:55 pm","BAJFINANCE","Largecap","Financials"
"18-08-2026 3:05 pm","MANAPPURAM","Largecap","Financials"
"19-08-2026 10:05 am","MCX","Largecap","Financials"
"19-08-2026 10:25 am","MAXHEALTH","Largecap","Healthcare"
"19-08-2026 11:05 am","HINDPETRO","Largecap","Energy"
"19-08-2026 11:05 am","RECLTD","Largecap","Financials"
"19-08-2026 11:35 am","TORNTPHARM","Largecap","Healthcare"
"19-08-2026 11:45 am","RBLBANK","Largecap","Bank"
"19-08-2026 12:25 pm","JSWSTEEL","Largecap","Metals & Mining"
"19-08-2026 12:35 pm","SAIL","Largecap","Metals & Mining"
"19-08-2026 1:35 pm","ICICIGI","Largecap","Financials"
"19-08-2026 1:55 pm","HDFCAMC","Largecap","Financials"
"19-08-2026 2:05 pm","RBLBANK","Largecap","Bank"
"20-08-2026 9:35 am","M&M","Largecap","Auto"
"20-08-2026 10:15 am","INDUSTOWER","Largecap","Telecom"
"20-08-2026 1:45 pm","GVT&D","Largecap","Industrials"
"20-08-2026 2:25 pm","LAURUSLABS","Largecap","Healthcare"
"20-08-2026 2:55 pm","LAURUSLABS","Largecap","Healthcare"
"20-08-2026 2:55 pm","AUBANK","Largecap","Bank"
"20-08-2026 3:25 pm","HEALTHCARE","Smallcap","Indices"
"21-08-2026 9:15 am","JSWSTEEL","Largecap","Metals & Mining"
"21-08-2026 9:35 am","JSWSTEEL","Largecap","Metals & Mining"
"21-08-2026 9:45 am","TECHM","Largecap","I.T"
"21-08-2026 10:05 am","GRASIM","Largecap","Textiles"
"21-08-2026 10:15 am","LT","Largecap","Realty"
"21-08-2026 10:35 am","NYKAA","Largecap","I.T"
"21-08-2026 10:45 am","JIOFIN","Largecap","Financials"
"21-08-2026 10:55 am","COFORGE","Largecap","I.T"
"21-08-2026 11:05 am","VOLTAS","Largecap","Consumer Discretionary"
"21-08-2026 11:15 am","RBLBANK","Largecap","Bank"
"21-08-2026 11:15 am","MAZDOCK","Largecap","Aerospace & Defence"
"21-08-2026 11:35 am","SBICARD","Largecap","Financials"
"21-08-2026 12:55 pm","ADANIPORTS","Largecap","Transportation"
"21-08-2026 1:05 pm","TATAPOWER","Largecap","Power & Utilities"
"21-08-2026 1:45 pm","HDFCBANK","Largecap","Bank"
"21-08-2026 1:55 pm","ZYDUSLIFE","Largecap","Healthcare"
"21-08-2026 2:15 pm","MUTHOOTFIN","Largecap","Financials"
"21-08-2026 2:25 pm","GRASIM","Largecap","Textiles"
"21-08-2026 2:45 pm","SHRIRAMFIN","Largecap","Financials"
"21-08-2026 2:45 pm","MCX","Largecap","Financials"
"21-08-2026 3:05 pm","ABCAPITAL","Largecap","Financials"
"24-08-2026 9:25 am","SHRIRAMFIN","Largecap","Financials"
"24-08-2026 9:45 am","DRREDDY","Largecap","Healthcare"
"24-08-2026 9:55 am","ADANIGREEN","Largecap","Power & Utilities"
"24-08-2026 10:55 am","CUMMINSIND","Largecap","Industrials"
"24-08-2026 11:45 am","UNITDSPR","Largecap","FMCG"
"24-08-2026 12:05 pm","APOLLOHOSP","Largecap","Healthcare"
"24-08-2026 1:45 pm","JSWSTEEL","Largecap","Metals & Mining"
"24-08-2026 2:05 pm","JINDALSTEL","Largecap","Metals & Mining"
"24-08-2026 2:25 pm","BPCL","Largecap","Energy"
"24-08-2026 2:45 pm","ASIANPAINT","Largecap","Building Materials"
"24-08-2026 2:45 pm","HCLTECH","Largecap","I.T"
"24-08-2026 2:45 pm","ICICIGI","Largecap","Financials"
"25-08-2026 9:45 am","BPCL","Largecap","Energy"
"25-08-2026 10:05 am","BRITANNIA","Largecap","FMCG"
"25-08-2026 10:25 am","BHEL","Largecap","Industrials"
"25-08-2026 10:45 am","SUNPHARMA","Largecap","Healthcare"
"25-08-2026 10:55 am","CGPOWER","Largecap","Industrials"
"25-08-2026 11:55 am","BSE","Largecap","Financials"
"25-08-2026 12:45 pm","ABB","Largecap","Industrials"
"25-08-2026 1:45 pm","SBIN","Largecap","Bank"
"25-08-2026 1:45 pm","RADICO","Largecap","FMCG"
"25-08-2026 2:25 pm","BRITANNIA","Largecap","FMCG"
"25-08-2026 2:25 pm","CANBK","Largecap","Bank"
"26-08-2026 10:15 am","CUMMINSIND","Largecap","Industrials"
"26-08-2026 11:15 am","NAUKRI","Largecap","I.T"
"26-08-2026 12:05 pm","BEL","Largecap","Aerospace & Defence"
"26-08-2026 1:25 pm","MAXHEALTH","Largecap","Healthcare"
"26-08-2026 1:35 pm","APOLLOHOSP","Largecap","Healthcare"
"27-08-2026 9:15 am","HEALTHCARE","Smallcap","Indices"
"27-08-2026 9:25 am","BRITANNIA","Largecap","FMCG"
"27-08-2026 9:25 am","NAUKRI","Largecap","I.T"
"27-08-2026 10:25 am","HEALTHCARE","Smallcap","Indices"
"27-08-2026 11:05 am","CHOLAFIN","Largecap","Financials"
"27-08-2026 11:25 am","BOSCHLTD","Largecap","Auto"
"27-08-2026 11:25 am","HEALTHCARE","Smallcap","Indices"
"27-08-2026 11:45 am","MOTHERSON","Largecap","Auto"
"27-08-2026 12:15 pm","TORNTPHARM","Largecap","Healthcare"
"27-08-2026 2:15 pm","MOTHERSON","Largecap","Auto"
"27-08-2026 2:55 pm","ADANIPORTS","Largecap","Transportation"
"28-08-2026 10:05 am","ONGC","Largecap","Energy"
"28-08-2026 10:25 am","TITAN","Largecap","Consumer Discretionary"
"28-08-2026 11:05 am","ONGC","Largecap","Energy"
"28-08-2026 11:45 am","360ONE","Largecap","Financials"
"28-08-2026 12:15 pm","TATAPOWER","Largecap","Power & Utilities"
"28-08-2026 12:15 pm","KEI","Largecap","Industrials"
"28-08-2026 12:25 pm","RADICO","Largecap","FMCG"
"28-08-2026 1:05 pm","KEI","Largecap","Industrials"
"28-08-2026 2:35 pm","APOLLOHOSP","Largecap","Healthcare"
"28-08-2026 2:35 pm","DMART","Largecap","Consumer Discretionary"
"28-08-2026 2:35 pm","WAAREEENER","Largecap","Industrials"
"28-08-2026 3:05 pm","OFSS","Largecap","I.T"
"31-08-2026 10:45 am","GRASIM","Largecap","Textiles"
"31-08-2026 11:55 am","TATAPOWER","Largecap","Power & Utilities"
"31-08-2026 2:05 pm","SONACOMS","Largecap","Auto"
"31-08-2026 2:25 pm","NYKAA","Largecap","I.T"
"31-08-2026 2:45 pm","AUROPHARMA","Largecap","Healthcare"
"31-08-2026 2:45 pm","POWERGRID","Largecap","Power & Utilities"
"01-09-2026 10:05 am","PAYTM","Largecap","I.T"
"01-09-2026 10:15 am","SONACOMS","Largecap","Auto"
"01-09-2026 10:25 am","VOLTAS","Largecap","Consumer Discretionary"
"01-09-2026 10:25 am","ENERGY","Smallcap","Indices"
"01-09-2026 11:05 am","CANBK","Largecap","Bank"
"01-09-2026 11:05 am","MARUTI","Largecap","Auto"
"01-09-2026 12:05 pm","CHOLAFIN","Largecap","Financials"
"01-09-2026 12:25 pm","PFC","Largecap","Financials"
"01-09-2026 12:35 pm","SBILIFE","Largecap","Financials"
"01-09-2026 2:25 pm","HAL","Largecap","Aerospace & Defence"
"01-09-2026 2:45 pm","BANKBARODA","Largecap","Bank"
"01-09-2026 3:05 pm","INFY","Largecap","I.T"
"01-09-2026 3:05 pm","MPHASIS","Largecap","I.T"
"02-09-2026 12:05 pm","RECLTD","Largecap","Financials"
"02-09-2026 12:15 pm","ADANIENT","Largecap","Services"
"02-09-2026 12:35 pm","UNIONBANK","Largecap","Bank"
"02-09-2026 1:15 pm","RADICO","Largecap","FMCG"
"02-09-2026 2:35 pm","ANGELONE","Largecap","Financials"
"03-09-2026 9:35 am","INDHOTEL","Largecap","Services"
"03-09-2026 9:55 am","DMART","Largecap","Consumer Discretionary"
"03-09-2026 10:05 am","HDFCAMC","Largecap","Financials"
"03-09-2026 10:15 am","BRITANNIA","Largecap","FMCG"
"03-09-2026 10:35 am","HDFCAMC","Largecap","Financials"
"03-09-2026 10:35 am","HEALTHCARE","Smallcap","Indices"
"03-09-2026 10:45 am","ASIANPAINT","Largecap","Building Materials"
"03-09-2026 10:45 am","BHARTIARTL","Largecap","Telecom-Service"
"03-09-2026 11:25 am","ASIANPAINT","Largecap","Building Materials"
"03-09-2026 11:25 am","INDIGO","Largecap","Transportation"
"03-09-2026 11:45 am","ASIANPAINT","Largecap","Building Materials"
"03-09-2026 11:55 am","HEALTHCARE","Smallcap","Indices"
"03-09-2026 12:25 pm","SUZLON","Largecap","Industrials"
"03-09-2026 1:35 pm","PAGEIND","Largecap","Consumer Discretionary"
